Start Time	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01
UK_GH2_CCGT_2032	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616	6.471483049
UK_GH2_CCGT_2033	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364	6.439286616
UK_GH2_CCGT_2034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497	6.407250364
UK_GH2_CCGT_2035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522	6.375373497
UK_GH2_CCGT_2036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747	6.34365522
UK_GH2_CCGT_2037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129	6.312094747
UK_GH2_CCGT_2038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407	6.28069129
UK_GH2_CCGT_2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308	6.24944407
UK_GH2_CCGT_2040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232	6.218352308
UK_GH2_CCGT_2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072	6.187415232
UK_GH2_CCGT_2042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062	6.156632072
UK_GH2_CCGT_2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.628	5.65614	5.6844207	5.712842803	5.741407018	5.770114053	5.798964623	5.827959446	5.857099243	5.886384739	5.915816663	5.945395746	5.975122725	6.004998339	6.03502333	6.065198447	6.095524439	6.126002062
