Object_Name	Object_Type
ES Offshore 730 40.0 0.625 100M Generator HWST Hub Height	Variable
ES Offshore 730 40.0 0.625 100M Generator HWST CRF	Variable
ES Offshore 730 40.0 0.625 100M Windspeed	Variable
ES Offshore 730 40.0 0.625 100M HHxWS	Variable
ES Offshore 730 40.0 0.625 100M HHxWSc	Variable
ES Offshore 730 40.0 0.625 100M HHc	Variable
ES Offshore 730 40.0 0.625 100M WSc	Variable
ES Offshore 730 40.0 0.625 100M HHxWSc+HHc	Variable
ES Offshore 730 40.0 0.625 100M HHxWSc+HHc+WSc	Variable
ES Offshore 730 40.0 0.625 100M HHxWSc+HHc+WSc+C	Variable
ES Offshore 730 40.0 0.625 130M Generator LWST	Generator
ES Offshore 730 40.0 0.625 130M Generator LWST Hub Height	Variable
ES Offshore 730 40.0 0.625 130M Generator LWST CRF	Variable
ES Offshore 730 40.0 0.625 130M Generator NWST	Generator
ES Offshore 730 40.0 0.625 130M Generator NWST Hub Height	Variable
ES Offshore 730 40.0 0.625 130M Generator NWST CRF	Variable
ES Offshore 730 40.0 0.625 130M Generator HWST	Generator
ES Offshore 730 40.0 0.625 130M Generator HWST Hub Height	Variable
ES Offshore 730 40.0 0.625 130M Generator HWST CRF	Variable
